Roma Est Nuda Proprietà Villino 2 Livelli Angolare	Prenestino / Casilino	90.000 €	http://www.kijiji.it/annunci/vendita/roma-annunci-prenestino-casilino/roma-est-nuda-proprieta-villino-2-livelli-angolare/87875290	ZONA ROMA EST
MediazioneCasa Agenzia Castelverde Propone in vendita
NUDA PROPRIETA' DI VILLA DI NUOVA COSTRUZIONE
2 LIVELLI
Composta da:

Salone con Angolo Cottura, Disimpegno, 2 Camere da Letto, Bagno, Portico, Giardino privato e Posto Auto.
Ingresso Indipendente.

Euro 90.000

Tel. 06-22485612

2.500,00 Euro alla prenotazione e possibilità di pagamenti dilazionati e personalizzati

Lâ€(TM)immobile è ubicato in Zona Roma Est, VI Municipio, Uscita 16 del G.R.A. lungo la Via Prenestina nei...
